ts_iso,iteration,t_sign_ms,t_authorize_ms,decision,reason
2026-02-07T20:27:53Z,1,0.064,2.893,allow,authorized
2026-02-07T20:27:53Z,2,0.065,3.341,allow,authorized
2026-02-07T20:27:53Z,3,0.070,8.065,allow,authorized
2026-02-07T20:27:53Z,4,0.064,3.225,allow,authorized
2026-02-07T20:27:53Z,5,0.068,3.522,allow,authorized
2026-02-07T20:27:53Z,6,0.065,2.694,allow,authorized
2026-02-07T20:27:53Z,7,0.063,2.731,allow,authorized
2026-02-07T20:27:53Z,8,0.067,44.098,allow,authorized
2026-02-07T20:27:53Z,9,0.084,3.474,allow,authorized
2026-02-07T20:27:53Z,10,0.068,3.780,allow,authorized
2026-02-07T20:27:53Z,11,0.075,3.876,allow,authorized
2026-02-07T20:27:53Z,12,0.066,6.753,allow,authorized
2026-02-07T20:27:53Z,13,0.066,3.022,allow,authorized
2026-02-07T20:27:53Z,14,0.066,2.701,allow,authorized
2026-02-07T20:27:53Z,15,0.065,12.139,allow,authorized
2026-02-07T20:27:53Z,16,0.064,4.646,allow,authorized
2026-02-07T20:27:53Z,17,0.067,56.312,allow,authorized
2026-02-07T20:27:53Z,18,0.061,3.119,allow,authorized
2026-02-07T20:27:53Z,19,0.065,2.902,allow,authorized
2026-02-07T20:27:53Z,20,0.061,2.851,allow,authorized
2026-02-07T20:27:53Z,21,0.066,3.208,allow,authorized
2026-02-07T20:27:53Z,22,0.069,3.134,allow,authorized
2026-02-07T20:27:53Z,23,0.066,2.775,allow,authorized
2026-02-07T20:27:53Z,24,0.064,2.827,allow,authorized
2026-02-07T20:27:53Z,25,0.066,3.267,allow,authorized
2026-02-07T20:27:53Z,26,0.066,3.149,allow,authorized
2026-02-07T20:27:53Z,27,0.070,7.370,allow,authorized
2026-02-07T20:27:53Z,28,0.069,3.336,allow,authorized
2026-02-07T20:27:53Z,29,0.064,3.412,allow,authorized
2026-02-07T20:27:53Z,30,0.068,3.558,allow,authorized
2026-02-07T20:27:53Z,31,0.067,3.313,allow,authorized
2026-02-07T20:27:53Z,32,0.063,2.961,allow,authorized
2026-02-07T20:27:53Z,33,0.065,3.164,allow,authorized
2026-02-07T20:27:53Z,34,0.066,5.860,allow,authorized
2026-02-07T20:27:53Z,35,0.069,2.963,allow,authorized
2026-02-07T20:27:53Z,36,0.095,2.865,allow,authorized
2026-02-07T20:27:53Z,37,0.065,2.997,allow,authorized
2026-02-07T20:27:53Z,38,0.069,3.859,allow,authorized
2026-02-07T20:27:53Z,39,0.067,3.126,allow,authorized
2026-02-07T20:27:53Z,40,0.093,5.604,allow,authorized
2026-02-07T20:27:53Z,41,0.066,17.240,allow,authorized
2026-02-07T20:27:53Z,42,0.068,3.343,allow,authorized
2026-02-07T20:27:53Z,43,0.111,2.874,allow,authorized
2026-02-07T20:27:54Z,44,0.065,2.969,allow,authorized
2026-02-07T20:27:54Z,45,0.068,3.089,allow,authorized
2026-02-07T20:27:54Z,46,0.066,3.070,allow,authorized
2026-02-07T20:27:54Z,47,0.066,5.011,allow,authorized
2026-02-07T20:27:54Z,48,0.072,3.206,allow,authorized
2026-02-07T20:27:54Z,49,0.065,3.286,allow,authorized
2026-02-07T20:27:54Z,50,0.062,3.199,allow,authorized
2026-02-07T20:27:54Z,51,0.088,3.198,allow,authorized
2026-02-07T20:27:54Z,52,0.214,3.048,allow,authorized
2026-02-07T20:27:54Z,53,0.067,3.869,allow,authorized
2026-02-07T20:27:54Z,54,0.075,4.879,allow,authorized
2026-02-07T20:27:54Z,55,0.066,3.148,allow,authorized
2026-02-07T20:27:54Z,56,0.066,3.412,allow,authorized
2026-02-07T20:27:54Z,57,0.068,4.243,allow,authorized
2026-02-07T20:27:54Z,58,0.066,3.331,allow,authorized
2026-02-07T20:27:54Z,59,0.066,2.907,allow,authorized
2026-02-07T20:27:54Z,60,0.065,5.170,allow,authorized
2026-02-07T20:27:54Z,61,0.067,3.291,allow,authorized
2026-02-07T20:27:54Z,62,0.068,3.041,allow,authorized
2026-02-07T20:27:54Z,63,0.067,21.460,allow,authorized
2026-02-07T20:27:54Z,64,0.063,3.266,allow,authorized
2026-02-07T20:27:54Z,65,0.148,3.155,allow,authorized
2026-02-07T20:27:54Z,66,0.068,2.829,allow,authorized
2026-02-07T20:27:54Z,67,0.120,2.891,allow,authorized
2026-02-07T20:27:54Z,68,0.066,3.344,allow,authorized
2026-02-07T20:27:54Z,69,0.086,3.475,allow,authorized
2026-02-07T20:27:54Z,70,0.062,3.994,allow,authorized
2026-02-07T20:27:54Z,71,0.118,3.381,allow,authorized
2026-02-07T20:27:54Z,72,0.944,4.567,allow,authorized
2026-02-07T20:27:54Z,73,0.088,3.265,allow,authorized
2026-02-07T20:27:54Z,74,0.493,3.133,allow,authorized
2026-02-07T20:27:54Z,75,0.067,3.119,allow,authorized
2026-02-07T20:27:54Z,76,0.063,4.765,allow,authorized
2026-02-07T20:27:54Z,77,0.069,3.675,allow,authorized
2026-02-07T20:27:54Z,78,0.070,3.909,allow,authorized
2026-02-07T20:27:54Z,79,0.064,4.135,allow,authorized
2026-02-07T20:27:54Z,80,0.087,41.148,allow,authorized
2026-02-07T20:27:54Z,81,0.069,3.063,allow,authorized
2026-02-07T20:27:54Z,82,0.086,2.988,allow,authorized
2026-02-07T20:27:54Z,83,0.065,3.045,allow,authorized
2026-02-07T20:27:54Z,84,0.069,3.276,allow,authorized
2026-02-07T20:27:54Z,85,0.065,3.139,allow,authorized
2026-02-07T20:27:54Z,86,0.068,2.983,allow,authorized
2026-02-07T20:27:54Z,87,0.061,3.128,allow,authorized
2026-02-07T20:27:54Z,88,0.068,3.043,allow,authorized
2026-02-07T20:27:54Z,89,0.066,3.596,allow,authorized
2026-02-07T20:27:54Z,90,0.067,3.028,allow,authorized
2026-02-07T20:27:54Z,91,0.067,2.840,allow,authorized
2026-02-07T20:27:54Z,92,0.114,3.060,allow,authorized
2026-02-07T20:27:54Z,93,0.063,3.448,allow,authorized
2026-02-07T20:27:54Z,94,0.067,3.178,allow,authorized
2026-02-07T20:27:54Z,95,0.069,3.706,allow,authorized
2026-02-07T20:27:54Z,96,0.064,3.570,allow,authorized
2026-02-07T20:27:54Z,97,0.069,3.012,allow,authorized
2026-02-07T20:27:54Z,98,0.069,2.929,allow,authorized
2026-02-07T20:27:54Z,99,0.064,5.710,allow,authorized
2026-02-07T20:27:54Z,100,0.066,2.772,allow,authorized
2026-02-07T20:27:54Z,101,0.061,3.526,allow,authorized
2026-02-07T20:27:54Z,102,0.065,2.702,allow,authorized
2026-02-07T20:27:54Z,103,0.237,3.255,allow,authorized
2026-02-07T20:27:54Z,104,0.061,22.060,allow,authorized
2026-02-07T20:27:54Z,105,0.067,3.371,allow,authorized
2026-02-07T20:27:54Z,106,0.119,3.315,allow,authorized
2026-02-07T20:27:54Z,107,0.066,2.869,allow,authorized
2026-02-07T20:27:54Z,108,0.070,3.130,allow,authorized
2026-02-07T20:27:54Z,109,0.063,3.064,allow,authorized
2026-02-07T20:27:54Z,110,0.069,2.709,allow,authorized
2026-02-07T20:27:54Z,111,0.063,4.705,allow,authorized
2026-02-07T20:27:54Z,112,0.065,3.477,allow,authorized
2026-02-07T20:27:54Z,113,0.142,3.077,allow,authorized
2026-02-07T20:27:54Z,114,0.093,2.967,allow,authorized
2026-02-07T20:27:54Z,115,0.065,3.194,allow,authorized
2026-02-07T20:27:54Z,116,0.070,3.657,allow,authorized
2026-02-07T20:27:54Z,117,0.067,5.935,allow,authorized
2026-02-07T20:27:54Z,118,0.114,3.316,allow,authorized
2026-02-07T20:27:54Z,119,0.067,3.110,allow,authorized
2026-02-07T20:27:54Z,120,0.067,3.127,allow,authorized
