ts_iso,iteration,t_sign_ms,t_authorize_ms,decision,reason
2026-02-07T20:27:43Z,71,0.066,7.968,allow,authorized
2026-02-07T20:27:43Z,72,0.066,6.357,allow,authorized
2026-02-07T20:27:43Z,73,0.141,3.016,allow,authorized
2026-02-07T20:27:43Z,74,0.061,3.161,allow,authorized
2026-02-07T20:27:43Z,75,0.067,3.205,allow,authorized
2026-02-07T20:27:43Z,76,0.067,3.071,allow,authorized
2026-02-07T20:27:43Z,77,0.066,2.932,allow,authorized
2026-02-07T20:27:43Z,78,0.064,3.116,allow,authorized
2026-02-07T20:27:43Z,79,0.079,29.189,allow,authorized
2026-02-07T20:27:43Z,80,0.061,2.956,allow,authorized
2026-02-07T20:27:43Z,81,0.064,2.915,allow,authorized
2026-02-07T20:27:43Z,82,0.067,3.368,allow,authorized
2026-02-07T20:27:43Z,83,0.064,2.960,allow,authorized
2026-02-07T20:27:43Z,84,0.066,4.818,allow,authorized
2026-02-07T20:27:43Z,85,0.065,3.127,allow,authorized
2026-02-07T20:27:43Z,86,0.062,3.024,allow,authorized
2026-02-07T20:27:43Z,87,0.063,3.233,allow,authorized
2026-02-07T20:27:43Z,88,0.065,3.613,allow,authorized
2026-02-07T20:27:43Z,89,0.066,3.448,allow,authorized
2026-02-07T20:27:43Z,90,0.062,3.083,allow,authorized
2026-02-07T20:27:43Z,91,0.066,3.221,allow,authorized
2026-02-07T20:27:43Z,92,0.066,3.728,allow,authorized
2026-02-07T20:27:43Z,93,0.064,5.225,allow,authorized
2026-02-07T20:27:43Z,94,0.068,3.030,allow,authorized
2026-02-07T20:27:43Z,95,0.096,3.357,allow,authorized
2026-02-07T20:27:43Z,96,0.066,3.182,allow,authorized
2026-02-07T20:27:43Z,97,0.068,2.669,allow,authorized
2026-02-07T20:27:43Z,98,0.204,3.096,allow,authorized
2026-02-07T20:27:43Z,99,0.066,5.220,allow,authorized
2026-02-07T20:27:43Z,100,0.067,3.140,allow,authorized
2026-02-07T20:27:43Z,101,0.062,27.595,allow,authorized
2026-02-07T20:27:43Z,102,0.064,2.728,allow,authorized
2026-02-07T20:27:43Z,103,0.066,3.149,allow,authorized
2026-02-07T20:27:43Z,104,0.079,3.639,allow,authorized
2026-02-07T20:27:43Z,105,0.064,3.506,allow,authorized
2026-02-07T20:27:43Z,106,0.089,4.094,allow,authorized
2026-02-07T20:27:43Z,107,0.099,3.254,allow,authorized
2026-02-07T20:27:43Z,108,0.064,3.813,allow,authorized
2026-02-07T20:27:43Z,109,0.067,4.062,allow,authorized
2026-02-07T20:27:43Z,110,0.064,3.030,allow,authorized
2026-02-07T20:27:43Z,111,0.065,3.613,allow,authorized
2026-02-07T20:27:43Z,112,0.105,3.740,allow,authorized
2026-02-07T20:27:43Z,113,0.064,3.119,allow,authorized
2026-02-07T20:27:43Z,114,0.068,3.949,allow,authorized
2026-02-07T20:27:43Z,115,0.065,3.230,allow,authorized
2026-02-07T20:27:43Z,116,0.072,3.186,allow,authorized
2026-02-07T20:27:43Z,117,0.072,3.017,allow,authorized
2026-02-07T20:27:43Z,118,0.065,5.523,allow,authorized
2026-02-07T20:27:43Z,119,0.066,3.440,allow,authorized
2026-02-07T20:27:43Z,120,0.066,2.837,allow,authorized
2026-02-07T20:27:43Z,121,0.094,3.074,allow,authorized
2026-02-07T20:27:43Z,122,0.146,24.746,allow,authorized
2026-02-07T20:27:43Z,123,0.072,2.940,allow,authorized
2026-02-07T20:27:43Z,124,0.060,2.834,allow,authorized
2026-02-07T20:27:43Z,125,0.064,3.175,allow,authorized
2026-02-07T20:27:43Z,126,0.067,3.451,allow,authorized
2026-02-07T20:27:43Z,127,0.068,3.221,allow,authorized
2026-02-07T20:27:43Z,128,0.095,3.243,allow,authorized
2026-02-07T20:27:43Z,129,0.131,6.161,allow,authorized
2026-02-07T20:27:43Z,130,0.066,3.128,allow,authorized
2026-02-07T20:27:43Z,131,0.069,4.562,allow,authorized
2026-02-07T20:27:43Z,132,0.065,3.249,allow,authorized
2026-02-07T20:27:43Z,133,0.066,3.121,allow,authorized
2026-02-07T20:27:43Z,134,0.068,3.506,allow,authorized
2026-02-07T20:27:43Z,135,0.064,4.544,allow,authorized
2026-02-07T20:27:43Z,136,0.067,3.337,allow,authorized
2026-02-07T20:27:43Z,137,0.068,2.647,allow,authorized
2026-02-07T20:27:43Z,138,0.063,3.228,allow,authorized
2026-02-07T20:27:43Z,139,0.065,3.275,allow,authorized
2026-02-07T20:27:43Z,140,0.069,3.028,allow,authorized
2026-02-07T20:27:43Z,141,0.067,34.952,allow,authorized
2026-02-07T20:27:43Z,142,0.062,2.797,allow,authorized
2026-02-07T20:27:43Z,143,0.083,2.681,allow,authorized
2026-02-07T20:27:43Z,144,0.066,3.525,allow,authorized
2026-02-07T20:27:43Z,145,0.069,3.077,allow,authorized
2026-02-07T20:27:43Z,146,0.065,3.157,allow,authorized
2026-02-07T20:27:43Z,147,0.069,3.216,allow,authorized
2026-02-07T20:27:43Z,148,0.068,2.969,allow,authorized
2026-02-07T20:27:43Z,149,0.062,3.491,allow,authorized
2026-02-07T20:27:43Z,150,0.069,3.640,allow,authorized
2026-02-07T20:27:43Z,151,0.092,3.067,allow,authorized
2026-02-07T20:27:43Z,152,0.065,2.696,allow,authorized
2026-02-07T20:27:43Z,153,0.069,3.108,allow,authorized
2026-02-07T20:27:43Z,154,0.066,3.324,allow,authorized
2026-02-07T20:27:43Z,155,0.064,2.649,allow,authorized
2026-02-07T20:27:43Z,156,0.065,5.172,allow,authorized
